Player,Player_ID,Player_NFL_Link,Player_NCAA_Link
Cecil Dowdy,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/cecil-dowdy-1.html
Harold Stancell,,http://www.pro-football-reference.com,
Charlie Thornhill,,http://www.pro-football-reference.com,
Gerald Seither,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/gerald-seither-1.html
Byron Morgan,,http://www.pro-football-reference.com,
Ed Pope,,http://www.pro-football-reference.com,
Harlan Reed,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/harland-reed-1.html
Eugene Ross,,http://www.pro-football-reference.com,
Charlie Brown,BrowCh02,http://www.pro-football-reference.com/players/B/BrowCh02.htm,http://www.sports-reference.com/cfb/players/charlie-brown-1.html
Dick Stebbins,,http://www.pro-football-reference.com,
Dick Schafroth,,http://www.pro-football-reference.com,
Tom Beier,BeieTo20,http://www.pro-football-reference.com/players/B/BeieTo20.htm,http://www.sports-reference.com/cfb/players/tom-beier-1.html
Woody Campbell,CampWo00,http://www.pro-football-reference.com/players/C/CampWo00.htm,http://www.sports-reference.com/cfb/players/woody-campbell-1.html
Paul Krause,,http://www.pro-football-reference.com,
Pete Tatman,TatmPe20,http://www.pro-football-reference.com/players/T/TatmPe20.htm,http://www.sports-reference.com/cfb/players/pete-tatman-1.html
Jerry Hayhoe,,http://www.pro-football-reference.com,
Bill Wilsey,,http://www.pro-football-reference.com,
Tim Houlton,,http://www.pro-football-reference.com,
Chip Myers,MyerCh00,http://www.pro-football-reference.com/players/M/MyerCh00.htm,
Raymond Brown,,http://www.pro-football-reference.com,
Bruce Sullivan,,http://www.pro-football-reference.com,
Torre Ossmo,,http://www.pro-football-reference.com,
Leon Moore,,http://www.pro-football-reference.com,
Richard Sligh,SligRi20,http://www.pro-football-reference.com/players/S/SligRi20.htm,
Lavern Barrs,,http://www.pro-football-reference.com,
Jim Copeland,CopeJi21,http://www.pro-football-reference.com/players/C/CopeJi21.htm,
Maurice Bates,,http://www.pro-football-reference.com,
John Runnels,,http://www.pro-football-reference.com,
Leigh Gilbert,,http://www.pro-football-reference.com,
Tom Croft,,http://www.pro-football-reference.com,
Eugene Bowen,,http://www.pro-football-reference.com,
Tim Sheehan,,http://www.pro-football-reference.com,
Bill Shear,,http://www.pro-football-reference.com,
Roosevelt Robertson,,http://www.pro-football-reference.com,
Jim Benson,,http://www.pro-football-reference.com,
Pete Pifer,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/pete-pifer-1.html
Jack Pyburn,PybuJa20,http://www.pro-football-reference.com/players/P/PybuJa20.htm,
Harold Decker,,http://www.pro-football-reference.com,
John Walker,,http://www.pro-football-reference.com,
Lou Andrus,AndrLo20,http://www.pro-football-reference.com/players/A/AndrLo20.htm,
Ray Shirey,,http://www.pro-football-reference.com,
Bob Trygstad,,http://www.pro-football-reference.com,
Jim Whitcomb,,http://www.pro-football-reference.com,
Earl Mayo,,http://www.pro-football-reference.com,
Herb Slattery,,http://www.pro-football-reference.com,
Bill Brown,,http://www.pro-football-reference.com,
Ken Carmann,,http://www.pro-football-reference.com,
Carroll Jarvis,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/carroll-jarvis-1.html
Frank Horak,,http://www.pro-football-reference.com,
Ed Marcontell,MarcEd20,http://www.pro-football-reference.com/players/M/MarcEd20.htm,
Duane Benson,BensDu20,http://www.pro-football-reference.com/players/B/BensDu20.htm,
Omar Parker,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/omar-parker-1.html
Bill Sabatino,SabaBi20,http://www.pro-football-reference.com/players/S/SabaBi20.htm,
Leroy Mitchell,MitcLe00,http://www.pro-football-reference.com/players/M/MitcLe00.htm,
Paul Tomich,,http://www.pro-football-reference.com,
Pat Riley,,http://www.pro-football-reference.com,
Bill Braswell,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/bill-braswell-1.html
Dave Bennett,,http://www.pro-football-reference.com,
Bernard Corbin,,http://www.pro-football-reference.com,
Ronnie Pack,,http://www.pro-football-reference.com,
Herman Reid,,http://www.pro-football-reference.com,
Bob Shortal,,http://www.pro-football-reference.com,
Ernie Ames,,http://www.pro-football-reference.com,
Bill Gentry,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/bill-gentry-1.html
Stan Juk,,http://www.pro-football-reference.com,
Jim Whitaker,,http://www.pro-football-reference.com,
Fred Cremer,,http://www.pro-football-reference.com,
Eric Watts,,http://www.pro-football-reference.com,
Preston Pearson,PearPr00,http://www.pro-football-reference.com/players/P/PearPr00.htm,
Bruce Green,,http://www.pro-football-reference.com,
Ron Sepic,,http://www.pro-football-reference.com,
James Hall,,http://www.pro-football-reference.com,
Randy Rasmussen,RasmRa20,http://www.pro-football-reference.com/players/R/RasmRa20.htm,
Dick Kolowski,,http://www.pro-football-reference.com,
Pat Badjek,,http://www.pro-football-reference.com,
Steve Dundas,,http://www.pro-football-reference.com,
Bob Kruse,KrusBo20,http://www.pro-football-reference.com/players/K/KrusBo20.htm,
J.B. Christian,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/jb-christian-1.html
Charlie Fowler,FowlCh20,http://www.pro-football-reference.com/players/F/FowlCh20.htm,
Ben Monroe,,http://www.pro-football-reference.com,
Dave Davis,,http://www.pro-football-reference.com,
Bob Bonner,,http://www.pro-football-reference.com,
Harold Deters,DeteHa20,http://www.pro-football-reference.com/players/D/DeteHa20.htm,
Kent Lashley,,http://www.pro-football-reference.com,
Mike Bass,BassMi20,http://www.pro-football-reference.com/players/B/BassMi20.htm,http://www.sports-reference.com/cfb/players/mike-bass-2.html
John Robinson,,http://www.pro-football-reference.com,
Bill Stetz,StetBi20,http://www.pro-football-reference.com/players/S/StetBi20.htm,
Sandor Szabo,,http://www.pro-football-reference.com,
Howard Finley,,http://www.pro-football-reference.com,
George Carter,,http://www.pro-football-reference.com,
Tom Stidham,,http://www.pro-football-reference.com,
Dennis Furjanic,,http://www.pro-football-reference.com,
Lamar Wright,,http://www.pro-football-reference.com,
Charley Hardt,,http://www.pro-football-reference.com,
Jim Homan,,http://www.pro-football-reference.com,
Rich Gibbs,,http://www.pro-football-reference.com,
Kaye Carstens,,http://www.pro-football-reference.com,
Jack Emmer,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/jack-emmer-1.html
Bob Rodwell,,http://www.pro-football-reference.com,
Leon Carr,,http://www.pro-football-reference.com,
John Erisman,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/john-erisman-1.html
Bob Duncum,DuncBo20,http://www.pro-football-reference.com/players/D/DuncBo20.htm,
Len Kleinpeter,,http://www.pro-football-reference.com,
Billy Andrews,AndrBi20,http://www.pro-football-reference.com/players/A/AndrBi20.htm,
Bill Downs,,http://www.pro-football-reference.com,
